Applicant Details,SCORING,
Link to application bundle,ALL SCORED,ONLY PASS
application_364_bundle.zip,90,0
application_423_bundle.zip,83,0
application_649_bundle.zip,46,0
application_183_bundle.zip,32,0
application_184_bundle.zip,54,0
application_195_bundle.zip,83,0
application_202_bundle.zip,100,0
application_211_bundle.zip,78,0
application_224_bundle.zip,79,0
application_235_bundle.zip,89,0
application_244_bundle.zip,41,0
application_261_bundle.zip,78,56
application_606_bundle.zip,56,61
application_637_bundle (1).zip,66,0
application_328_bundle.zip,34,0
application_369_bundle (1).zip,96,0
application_396_bundle.zip,51,0
application_405_bundle.zip,82,93
application_409_bundle.zip,29,89
application_413_bundle.zip,32,69
application_419_bundle (1).zip,43,74
application_428_bundle.zip,86,57
application_439_bundle.zip,98,86
application_465_bundle.zip,59,0
application_466_bundle.zip,90,0
application_496_bundle.zip,39,0
application_630_bundle.zip,91,94
application_710_bundle.zip,71,0
application_234_bundle.zip,88,0
application_380_bundle.zip,45,0
application_608_bundle (1).zip,56,62
application_677_bundle (1).zip,53,0
application_682_bundle (1).zip,39,59
application_685_bundle.zip,34,91
application_236_bundle.zip,29,48
application_237_bundle.zip,58,52
application_379_bundle.zip,91,0
application_429_bundle.zip,45,86
application_584_bundle.zip,43,63
application_616_bundle.zip,69,0
application_662_bundle.zip,41,66
application_676_bundle.zip,94,91
application_681_bundle (1).zip,46,94
application_160_bundle.zip,60,0
application_187_bundle.zip,36,0
application_374_bundle.zip,78,56
application_501_bundle.zip,47,0
application_632_bundle.zip,52,0
application_697_bundle.zip,51,100
application_161_bundle.zip,69,0
application_402_bundle.zip,58,0
application_431_bundle.zip,51,0
application_186_bundle.zip,83,0
application_278_bundle.zip,45,0
application_321_bundle.zip,58,0
application_354_bundle.zip,79,93
application_387_bundle (1).zip,60,81
application_535_bundle.zip,76,0
application_613_bundle.zip,70,75
application_615_bundle.zip,89,0
application_623_bundle.zip,94,0
application_203_bundle.zip,72,0
application_454_bundle.zip,66,0
application_555_bundle.zip,52,77
application_645_bundle.zip,100,0
application_182_bundle.zip,51,0
application_219_bundle.zip,69,0
application_229_bundle.zip,65,0
application_287_bundle.zip,43,0
application_345_bundle.zip,58,0
application_516_bundle (1).zip,56,0
application_620_bundle.zip,68,0
application_652_bundle.zip,93,0
application_674_bundle (1).zip,75,0
application_674_bundle.zip,56,0
application_162_bundle.zip Applicant 162,20,0
application_193_bundle.zip,92,0
application_194_bundle.zip,79,0
application_206_bundle.zip,82,56
application_216_bundle.zip,77,23
application_217_bundle.zip,64,94
application_264_bundle.zip,65,53
application_324_bundle.zip,16,DQ
application_334_bundle.zip,48,64
application_341_bundle.zip,85,22
application_370_bundle.zip,46,DQ
application_372_bundle.zip,85,0
application_377_bundle.zip,87,0
application_390_bundle (1).zip,60,0
application_521_bundle.zip,72,0
application_551_bundle.zip,50,56
application_661_bundle (1).zip,20,77
application_668_bundle.zip,32,61
application_694_bundle (1).zip,61,0
application_709_bundle.zip,67,0
application_719_bundle.zip,100,0
application_459_bundle.zip,32,55
application_562_bundle (1).zip,73,0
application_617_bundle.zip,74,61
application_622_bundle.zip,49,0
application_655_bundle (1).zip,75,0
application_349_bundle.zip,64,0
application_350_bundle.zip,25,71
application_355_bundle.zip,89,24
application_358_bundle.zip,27,0
application_366_bundle.zip,29,0
application_375_bundle.zip,38,0
application_384_bundle.zip,67,0
application_455_bundle.zip,59,0
application_469_bundle (1).zip,28,0
application_476_bundle.zip,15,0
application_512_bundle.zip,15,0
application_609_bundle.zip,61,67
application_628_bundle (2).zip,11,71
application_696_bundle.zip,58,0
application_198_bundle (1).zip,72,0
application_540_bundle.zip,71,0
application_571_bundle.zip,71,0
application_574_bundle.zip,80,0
application_590_bundle.zip,56,0
application_708_bundle.zip,68,0
